byte1,byte2,byte3,byte4,byte5,byte6,byte7,byte8,flag
216,0,0,128,0,0,0,0,Normal
69,41,36,255,41,36,0,255,Abnormal
69,41,36,255,41,36,0,255,Abnormal
1,69,96,255,107,0,0,0,Abnormal
1,69,96,255,107,0,0,0,Abnormal
6,128,0,255,39,128,5,197,Normal
0,0,0,0,0,0,0,0,Abnormal
69,41,36,255,41,36,0,255,Abnormal
1,69,96,255,107,0,0,0,Abnormal
146,74,113,48,130,133,65,7,Abnormal
69,41,36,255,41,36,0,255,Abnormal
0,0,0,0,0,0,0,0,Abnormal
41,236,240,132,36,48,147,64,Abnormal
69,41,36,255,41,36,0,255,Abnormal
0,0,0,0,0,0,0,0,Abnormal
0,0,0,0,0,0,0,0,Abnormal
1,69,96,255,107,0,0,0,Abnormal
69,41,36,255,41,36,0,255,Abnormal
255,0,0,0,255,202,8,0,Normal
238,127,0,0,46,127,0,3,Normal
1,69,96,255,107,0,0,0,Abnormal
1,69,96,255,107,0,0,0,Abnormal
5,32,180,8,32,34,0,112,Normal
161,236,57,219,22,68,219,209,Abnormal
5,32,196,104,121,0,0,240,Normal
238,8,24,242,189,35,159,105,Abnormal
0,0,0,0,0,0,0,0,Abnormal
1,69,96,255,107,0,0,0,Abnormal
1,135,234,110,62,69,195,39,Abnormal
69,41,36,255,41,36,0,255,Abnormal
1,69,96,255,107,0,0,0,Abnormal
5,32,132,104,118,0,0,191,Normal
1,69,96,255,107,0,0,0,Abnormal
69,41,36,255,41,36,0,255,Abnormal
245,81,91,181,163,3,214,36,Abnormal
69,41,36,255,41,36,0,255,Abnormal
8,0,0,0,0,0,0,0,Normal
5,33,116,9,33,33,0,111,Normal
69,41,36,255,41,36,0,255,Abnormal
0,0,0,0,0,0,0,0,Abnormal
191,6,72,96,118,204,224,179,Abnormal
1,69,96,255,107,0,0,0,Abnormal
69,41,36,255,41,36,0,255,Abnormal
21,65,205,210,9,148,235,221,Abnormal
0,0,0,0,0,0,0,0,Abnormal
1,69,96,255,107,0,0,0,Abnormal
69,41,36,255,41,36,0,255,Abnormal
212,125,146,49,23,67,171,170,Abnormal
69,41,36,255,41,36,0,255,Abnormal
0,0,0,0,0,0,0,0,Abnormal
0,0,145,29,150,2,189,0,Normal
0,0,0,0,28,7,43,169,Normal
0,0,0,0,0,0,0,0,Abnormal
69,41,36,255,41,36,0,255,Abnormal
114,99,73,4,44,45,88,173,Abnormal
1,69,96,255,107,0,0,0,Abnormal
69,41,36,255,41,36,0,255,Abnormal
0,0,0,0,0,0,0,0,Abnormal
69,41,36,255,41,36,0,255,Abnormal
67,49,117,130,189,203,100,183,Abnormal
30,191,124,124,99,79,40,43,Abnormal
120,115,244,252,104,10,212,8,Abnormal
69,41,36,255,41,36,0,255,Abnormal
116,17,45,189,113,183,5,129,Abnormal
143,236,68,212,140,182,95,180,Abnormal
160,169,230,196,115,183,52,57,Abnormal
0,0,0,0,0,0,0,0,Abnormal
0,0,0,0,0,4,4,83,Normal
0,0,0,0,0,0,0,0,Abnormal
180,247,24,229,145,71,233,250,Abnormal
0,0,0,0,0,0,0,0,Abnormal
0,0,0,0,0,0,0,0,Abnormal
196,229,63,158,104,9,244,173,Abnormal
0,0,0,0,0,0,0,0,Abnormal
53,159,40,76,79,161,64,149,Abnormal
22,128,0,255,244,127,10,178,Normal
79,242,95,194,67,223,214,28,Abnormal
0,128,0,0,37,127,4,239,Normal
69,41,36,255,41,36,0,255,Abnormal
214,98,115,67,6,147,133,44,Abnormal
0,0,0,0,0,0,0,0,Abnormal
115,247,37,23,92,102,139,2,Abnormal
1,69,96,255,107,0,0,0,Abnormal
1,69,96,255,107,0,0,0,Abnormal
0,0,0,0,0,0,0,0,Abnormal
158,1,138,247,8,250,84,124,Abnormal
69,41,36,255,41,36,0,255,Abnormal
69,41,36,255,41,36,0,255,Abnormal
0,0,0,0,0,0,0,0,Abnormal
1,69,96,255,107,0,0,0,Abnormal
122,48,135,124,56,218,220,143,Abnormal
0,0,0,0,0,0,0,0,Abnormal
198,1,132,94,158,94,250,58,Abnormal
116,65,237,74,99,9,22,213,Abnormal
63,108,243,128,212,61,228,89,Abnormal
1,69,96,255,107,0,0,0,Abnormal
0,0,0,0,0,0,0,0,Abnormal
69,41,36,255,41,36,0,255,Abnormal
0,0,0,0,0,0,0,0,Abnormal
151,12,44,112,205,1,113,225,Abnormal
0,0,0,0,0,0,0,0,Abnormal
69,41,36,255,41,36,0,255,Abnormal
1,69,96,255,107,0,0,0,Abnormal
69,41,36,255,41,36,0,255,Abnormal
0,0,0,0,0,0,0,0,Abnormal
1,69,96,255,107,0,0,0,Abnormal
1,69,96,255,107,0,0,0,Abnormal
12,183,127,20,17,32,0,20,Normal
158,232,151,151,10,84,78,237,Abnormal
41,40,12,101,212,17,253,217,Abnormal
197,181,148,77,18,181,66,255,Abnormal
1,69,96,255,107,0,0,0,Abnormal
33,189,109,88,15,204,62,150,Abnormal
213,159,197,66,130,77,182,133,Abnormal
69,41,36,255,41,36,0,255,Abnormal
69,41,36,255,41,36,0,255,Abnormal
2,31,49,67,30,96,142,70,Abnormal
191,75,64,183,34,78,27,15,Abnormal
69,41,36,255,41,36,0,255,Abnormal
31,51,175,79,43,52,140,216,Abnormal
1,69,96,255,107,0,0,0,Abnormal
1,69,96,255,107,0,0,0,Abnormal
255,0,0,0,255,224,8,0,Normal
69,41,36,255,41,36,0,255,Abnormal
69,41,36,255,41,36,0,255,Abnormal
1,69,96,255,107,0,0,0,Abnormal
0,0,0,0,0,0,0,0,Abnormal
0,0,0,0,0,0,0,0,Abnormal
254,84,0,0,0,60,0,0,Normal
25,34,34,48,255,143,110,63,Normal
69,41,36,255,41,36,0,255,Abnormal
69,41,36,255,41,36,0,255,Abnormal
160,8,227,95,133,153,180,187,Abnormal
174,216,177,252,23,184,49,123,Abnormal
1,69,96,255,107,0,0,0,Abnormal
1,69,96,255,107,0,0,0,Abnormal
5,40,232,129,25,222,27,78,Abnormal
219,204,64,63,146,50,95,139,Abnormal
1,69,96,255,107,0,0,0,Abnormal
240,32,79,83,35,223,113,23,Abnormal
0,0,0,0,0,0,0,0,Abnormal
0,0,0,0,0,0,0,0,Abnormal
69,41,36,255,41,36,0,255,Abnormal
69,41,36,255,41,36,0,255,Abnormal
255,0,0,0,255,188,8,0,Normal
69,41,36,255,41,36,0,255,Abnormal
0,0,0,0,0,0,0,0,Abnormal
8,128,0,255,58,128,5,89,Normal
1,69,96,255,107,0,0,0,Abnormal
1,69,96,255,107,0,0,0,Abnormal
69,41,36,255,41,36,0,255,Abnormal
1,69,96,255,107,0,0,0,Abnormal
1,69,96,255,107,0,0,0,Abnormal
69,41,36,255,41,36,0,255,Abnormal
69,41,36,255,41,36,0,255,Abnormal
1,69,96,255,107,0,0,0,Abnormal
1,69,96,255,107,0,0,0,Abnormal
69,41,36,255,41,36,0,255,Abnormal
0,0,0,0,0,0,0,0,Abnormal
250,182,46,11,160,104,188,14,Abnormal
0,0,0,0,0,0,0,0,Abnormal
247,4,160,103,82,186,17,103,Abnormal
111,141,195,120,151,77,228,191,Abnormal
69,41,36,255,41,36,0,255,Abnormal
69,41,36,255,41,36,0,255,Abnormal
0,0,0,0,0,0,0,0,Abnormal
1,69,96,255,107,0,0,0,Abnormal
0,0,0,0,0,0,0,0,Abnormal
0,0,0,0,0,0,0,0,Abnormal
50,90,103,143,225,230,227,250,Abnormal
75,133,247,59,18,146,165,28,Abnormal
1,69,96,255,107,0,0,0,Abnormal
1,69,96,255,107,0,0,0,Abnormal
8,144,210,128,248,184,228,40,Abnormal
77,1,109,134,125,238,217,41,Abnormal
1,69,96,255,107,0,0,0,Abnormal
1,69,96,255,107,0,0,0,Abnormal
0,0,0,0,0,0,0,0,Abnormal
1,69,96,255,107,0,0,0,Abnormal
100,203,119,34,207,205,87,45,Abnormal
221,204,42,131,175,213,94,230,Abnormal
246,47,120,113,246,161,115,23,Abnormal
1,69,96,255,107,0,0,0,Abnormal
79,241,210,165,255,185,122,125,Abnormal
69,41,36,255,41,36,0,255,Abnormal
69,41,36,255,41,36,0,255,Abnormal
1,69,96,255,107,0,0,0,Abnormal
69,41,36,255,41,36,0,255,Abnormal
1,69,96,255,107,0,0,0,Abnormal
55,197,164,72,6,172,108,80,Abnormal
0,0,0,0,0,0,0,0,Abnormal
0,0,0,0,0,0,0,0,Abnormal
0,0,0,0,2,32,42,41,Normal
188,221,97,214,113,195,252,155,Abnormal
0,0,0,0,0,0,0,0,Abnormal
0,0,0,0,0,0,0,0,Abnormal
69,41,36,255,41,36,0,255,Abnormal
10,237,230,213,74,161,48,187,Abnormal
4,60,60,152,187,213,106,166,Abnormal
0,0,0,0,0,0,0,0,Abnormal
205,87,49,247,224,99,19,191,Abnormal
254,94,0,0,0,60,0,0,Normal
0,0,0,128,0,103,209,19,Normal
121,121,23,243,94,66,200,242,Abnormal
0,0,0,0,0,0,0,0,Abnormal
1,69,96,255,107,0,0,0,Abnormal
0,128,0,0,59,127,9,127,Normal
96,122,99,181,129,47,32,180,Abnormal
69,41,36,255,41,36,0,255,Abnormal
1,69,96,255,107,0,0,0,Abnormal
0,0,0,0,0,0,0,0,Abnormal
69,41,36,255,41,36,0,255,Abnormal
21,0,0,0,0,0,0,0,Normal
1,69,96,255,107,0,0,0,Abnormal
69,41,36,255,41,36,0,255,Abnormal
50,226,68,135,23,24,156,210,Abnormal
1,69,96,255,107,0,0,0,Abnormal
69,41,36,255,41,36,0,255,Abnormal
69,41,36,255,41,36,0,255,Abnormal
0,0,0,0,0,0,0,0,Abnormal
69,41,36,255,41,36,0,255,Abnormal
32,5,225,251,81,19,102,7,Abnormal
69,41,36,255,41,36,0,255,Abnormal
255,0,0,0,255,134,9,0,Normal
1,69,96,255,107,0,0,0,Abnormal
69,41,36,255,41,36,0,255,Abnormal
69,41,36,255,41,36,0,255,Abnormal
69,41,36,255,41,36,0,255,Abnormal
240,139,119,246,134,40,4,71,Abnormal
0,0,0,0,0,0,0,0,Abnormal
0,0,0,0,0,0,0,0,Abnormal
0,0,0,0,0,0,0,0,Abnormal
150,172,78,149,30,202,154,237,Abnormal
